product_id,"review_text",sentiment
2960276654,"Tức shiper ăn nói trống không nên cho shop 1 sao trừ điểm đóng gói móp",negative
2960276654,"Shop làm ăn vcl nhắn ko rep áo thì chật cứng bực mình bồi thường đi",negative
2960276654,"Mua cho chồng mặc đi đám cưới ai cũng khen đẹp, form lên vừa vặn lắm.",positive
2960276654,"Trúc xinh trúc mọc đầu đình, em xinh em đứng một mình cũng xinh. Áo đẹp lắm nha shop 10 sao",positive
2960276654,"Sợ áo mỏng nhận về nặng trịch dầy dặn bất ngờ hehe.",positive
2960276654,"Trúc xinh trúc mọc đầu đình, em xinh em đứng một mình cũng xinh. Áo đẹp lắm nha shop 10 sao",positive
2960276654,"Xỉu up xỉu down luôn á áo đỉnh vãi chưởng",positive
2960276654,"Dm giao mẹ cái giẻ rách à áo rách toạc mà cũng ship tốn tiền",negative
2960276654,"Một cây làm chẳng nên non, nhận hàng thấy form áo mlem quớ.",positive
2960276654,"Bác lớn tuổi không biết mua trên này mà nhờ shop chỉ tận tình, áo cháu mặc vừa lắm",positive
2960276654,"Áo keo lỳ nha mấy bà, 10 điểm không có nhưng, slay vãi",positive
2960276654,"a'o dẹp lúm mng, wa' tr ok lunn mn uiii",positive
2960276654,"Một cây làm chẳng nên non, nhận hàng thấy form áo mlem quớ.",positive
2960276654,"Thua xa cái áo hôm trước mua bên QC, vải này giặt 2 nước xù lông chắc luôn",negative
2960276654,"Đáng đồng tiền bát gạo, shop làm ăn uy tín đấy, form dáng ok",positive
2960276654,"Đóng gói kỹ xíu đi shop ơi bọc nilon mỏng dính, bù lại chất vải đẹp, đường may ok ko bị lỗi.",positive
2960276654,"Shop làm ăn bố láo, nhắn tin xin đổi size mà seen không thèm rep, thái độ lồi lõm với khách.",negative
2960276654,"Lúc đặt cũng rén sợ form boxy to quá, nhận hàng ưng cái bụng liền",positive
2960276654,"Giao hàng quăng cái bộp cái thùng nát bét, shop làm việc lại với bên vận chuyển bực ghê",negative
2960276654,"Giao hàng từ thế kỉ trước tới giờ mới nhận được, shop không hỗ trợ gì cả. Tệ.",negative
2960276654,"Xui xẻo vừa mua về đứt luôn cái cúc áo, chỉ thừa thì cả đống, bực mình vãi",negative
2960276654,"Shop này tui mua chắc chục cái từ sơ mi tới vest, chất liệu bao tốt, tư vấn dễ thương",positive
2960276654,"Phần đệm vai bị nhàu nát tươm, áo rách lót nản chẳng muốn nói.",negative
2960276654,"Đánh giá cao chất liệu và form dáng của mẫu vest này. Đường may tỉ mỉ, mút vai cấu trúc tốt. Một lựa chọn tuyệt vời trong tầm giá.",positive
2960276654,"Form như dở hơi so với hàng xách tay trước t mua rẻ hơn mà xịn hơn",negative
2960276654,"Tạm được, không xuất sắc như quảng cáo, màu ngoài đời tối hơn ảnh.",negative
2960276654,"Áo rách 1 đường may dọc sườn, kiểm tra hàng không kỹ gì hết bực dễ sợ",negative
2960276654,"Nhìn giả trân, thôi mua hàng nội địa trung còn ngon xơi hơn.",negative
2960276654,"fast",positive
2960276654,"Xỉu up xỉu down luôn á áo đỉnh vãi chưởng",positive
2960276654,"giao nhanh",positive
2960276654,"Đặt thử mặc đi prom mà lên dáng đẹp ngoài mong đợi, giá lại rẻ sập sàn nha.",positive
2960276654,"Phục vụ quá tệ, áo xước 1 đường bảo đổi trả không cho. Bai bai shop.",negative
2960276654,"Hàng VNXK gì mà còn thua đồ taobao vài trăm ngàn, giá chát mà chất kì kì",negative
2960276654,"Bác lớn tuổi không biết mua trên này mà nhờ shop chỉ tận tình, áo cháu mặc vừa lắm",positive
2960276654,"Shop này tui mua chắc chục cái từ sơ mi tới vest, chất liệu bao tốt, tư vấn dễ thương",positive
2960276654,"Xui xẻo vừa mua về đứt luôn cái cúc áo, chỉ thừa thì cả đống, bực mình vãi",negative
2960276654,"Áo dính nguyên vệt dơ đằng sau lưng, nhắn tin shop seen không rep.",negative
